Season,Category,Circuit,Rider,Country,Constructor
2008,MotoGP,Estoril Circuit,Jorge Lorenzo,SPAIN,Yamaha
2008,125cc,Circuito de Jerez - Angel Nieto,Simone Corsi,ITALY,Aprilia
2008,250cc,Circuito de Jerez - Angel Nieto,Mika Kallio,FINLAND,KTM
2008,MotoGP,Circuito de Jerez - Angel Nieto,Dani Pedrosa,SPAIN,Honda
2008,125cc,Losail International Circuit,Sergio Gadea,SPAIN,Aprilia
2008,250cc,Losail International Circuit,Mattia Pasini,ITALY,Aprilia
2008,MotoGP,Losail International Circuit,Casey Stoner,AUSTRALIA,Ducati
2007,125cc,Circuit Ricardo Tormo,Hector Faubel,SPAIN,Aprilia
2007,250cc,Circuit Ricardo Tormo,Mika Kallio,FINLAND,KTM
2007,MotoGP,Circuit Ricardo Tormo,Dani Pedrosa,SPAIN,Honda
2007,125cc,Sepang International Circuit,Gabor Talmacsi,HUNGARY,Aprilia
2007,250cc,Sepang International Circuit,Hiroshi Aoyama,JAPAN,KTM
2007,MotoGP,Sepang International Circuit,Casey Stoner,AUSTRALIA,Ducati
